1,CTLR ADDRESS,1,0,LAO
2,APPLICATION,1,0,UKNW
3,HAND.AUTO,1,0,LDO
4,HOA ON.OFF,1,0,LDO
5,NET START,1,0,LDO
6,NET DIR,1,0,LDO
8,NET SPEED,0.1,0,LAO
9,MIN SPEED,0.1,0,LAO
10,MAX SPEED,0.1,0,LAO
11,ACCEL TIME,0.1,0.1,LAO
12,DECEL TIME,0.1,0.1,LAO
13,CURRENT LIM,0.1,0.1,LAO
14,SWITCH FREQ,0.1,1,LAO
17,DRIVE APP SW,0.01,0,LAI
18,DRIVE SYS SW,0.01,0,LAI
19,DRIVE OPT SW,0.01,0,LAI
20,OVRD TIME,1,0,LAO
21,LAST FAULT,1,0,LAI
22,RESET FAULT,1,0,LDO
23,OPERATE HRS,0.1,0,LAI
24,SERVICE DAYS,1,0,LAI
25,RESET OP HRS,1,0,LDO
26,KILOWATT HRS,1,0,LAI
27,MEGAWATT HRS,1,0,LAI
28,RESET KWH,1,0,LDO
29,DAY.NIGHT,1,0,LDO
30,ANALOG V IN,0.01,-160,LAI
31,ANALOG I IN,0.01,-160,LAI
32,ANALOG I OUT,0.01,0,LAO
33,DIGITAL IN 1,1,0,LDI
34,DIGITAL IN 2,1,0,LDI
35,DIGITAL IN 3,1,0,LDI
36,DIGITAL IN 4,1,0,LDI
37,DIGITAL IN 5,1,0,LDI
38,DIGITAL IN 6,1,0,LDI
39,OPT DIG IN 1,1,0,LDI
40,OPT DIG IN 2,1,0,LDI
41,OPT DIG IN 3,1,0,LDI
42,OPT DIG IN 4,1,0,LDI
43,DIGITAL OUT,1,0,LDO
44,RELAY OUT 1,1,0,LDO
45,RELAY OUT 2,1,0,LDO
46,OPT DIG OUT1,1,0,LDO
47,OPT DIG OUT2,1,0,LDO
48,OPT DIG OUT3,1,0,LDO
49,OPT DIG OUT4,1,0,LDO
51,SPD SETPOINT,0.1,0,LAI
52,OUTPUT FREQ,0.01,0,LAI
53,MOTOR SPEED,0.1,0,LAI
54,MOTOR TORQUE,0.1,-300,LAI
55,LOAD,0.1,-200,LAI
56,POWER,0.1,0,LAI
57,MOTOR CUR,0.1,0,LAI
58,BUS VOLTAGE,1,0,LAI
59,MOTOR VOLTS,1,0,LAI
60,HEATSINK TMP,1,-20,LAI
61,MOTOR TEMP,1,0,LAI
62,INTERLOCKED,1,0,LDI
63,READY STATE,1,0,LDI
64,RUN STATE,1,0,LDI
65,FAULT STATE,1,0,LDI
66,COMMAND DIR,1,0,LDI
67,MOTOR DIR,1,0,LDI
68,AT SPEED,1,0,LDI
69,STOPPING,1,0,LDI
70,IN RESTART,1,0,LDI
71,POS CUR LIM,1,0,LDI
72,NEG CUR LIM,1,0,LDI
73,HOA STATE,1,0,LDI
74,HOA OFF,1,0,LDI
76,SMOKE PURGE,1,0,LDO
77,PM SETBACK,1,0,LDO
78,EXT INTERLCK,1,0,LDO
79,SMK PRG SPD,0.1,0,LAO
80,PM STBCK SPD,0.1,0,LAO
81,IN SMK PRG,1,0,LDI
82,IN PM STBCK,1,0,LDI
84,NET PI SET,0.01,0,LAO
85,NET PI FDBCK,0.01,-100,LAO
86,PI ERROR,0.01,-160,LAI
87,PI ACC TIME,0.1,0.1,LAO
88,PI DEC TIME,0.1,0.1,LAO
89,PI PROP GAIN,0.001,0,LAO
90,PI INT GAIN,0.001,0,LAO
91,PI FWD GAIN,0.002,-32.768002,LAO
92,PI OFFSET,0.1,-200,LAO
93,PI REG SPD,0.1,0,LAI
95,WIN COMPARE1,1,0,LDI
96,WIN COMPARE2,1,0,LDI
97,WIN COMPARE3,1,0,LDI
98,WIN COMPARE4,1,0,LDI
99,ERROR STATUS,1,0,LAO
